# frame slotsLen hsa hsub stalled scanIdx slots offsets shot2 rollback
247 4 3 55 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
248 4 3 56 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
249 4 3 57 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
250 4 3 58 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
251 4 3 59 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
252 4 3 60 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
253 4 3 61 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
254 4 3 62 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
255 4 3 63 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
256 4 4 0 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
257 5 4 1 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
258 5 4 2 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
259 5 4 3 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
260 5 4 4 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
261 5 4 5 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
262 5 4 6 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
263 5 4 7 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
264 5 4 8 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
265 5 4 9 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
266 5 4 10 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
267 5 4 11 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
268 5 4 12 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
269 5 4 13 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
270 5 4 14 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
271 5 4 15 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
272 5 4 16 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
273 5 4 17 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
274 5 4 18 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
275 5 4 19 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
276 5 4 20 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
277 5 4 21 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
278 5 4 22 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
279 5 4 23 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
280 5 4 24 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
281 5 4 25 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
282 5 4 26 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
283 5 4 27 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
